store,address,위도,경도
구로호텔,"서울특별시 구로구 디지털로32길 72, 구로호텔 1층 (구로동)",37.4831293,126.8988591
구로디지털타워,서울특별시 구로구 디지털로32길 30 (구로동),37.483432,126.89648
구로디지털로,"서울특별시 구로구 디지털로33길 11, 에이스테크노8차 1층 (구로동)",37.485911,126.895587
구로에이스,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)",37.48448329,126.8944957
구로하이엔드,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 103호 (구로동)",37.481618,126.893136
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),37.480935,126.908407
신세계아이앤씨,"서울특별시 구로구 디지털로31길 61, 신세계디지털센터 101호 (구로동)",37.48587904,126.8916127
가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.8874768
W-Mall,서울특별시 금천구 디지털로 188 (가산동),37.47730499,126.8876908
독산사거리,서울특별시 금천구 시흥대로 426 (독산동),37.471511,126.898775
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),37.501087,127.043069
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),37.510178,127.022223
신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),37.514132,127.020563
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),37.499517,127.031495
스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동),37.494668,127.062583
봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),37.515,127.063196
압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),37.5227934,127.0286009
코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),37.51015,127.060275
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),37.50775,127.060651
압구정R,서울특별시 강남구 언주로 861 (신사동),37.5273669,127.033061
수서역R,서울특별시 강남구 광평로 281 (수서동),37.488008,127.10265
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),37.485192,127.036685
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),37.505321,127.050409
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),37.511293,127.048409
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),37.502117,127.026672
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,37.50999,127.061455
강남구청정문,서울특별시 강남구 학동로 419 (청담동),37.518181,127.045995
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),37.492805,127.041309
강남R,서울특별시 강남구 강남대로 390 (역삼동),37.497711,127.028439
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),37.498973,127.060172
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),37.522156,127.056449
압구정,서울특별시 강남구 압구정로30길 17 (신사동),37.526283,127.02956
신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),37.521852,127.02251
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),37.525216,127.041827
강남우성,서울특별시 강남구 강남대로 328 (역삼동),37.492396,127.03091
학동사거리,서울특별시 강남구 도산대로 328 (논현동),37.5223645,127.0379543
대치사거리,서울특별시 강남구 삼성로 402 (대치동),37.503331,127.058817
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,37.5075307,127.0574271
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",37.5191632,127.0286446
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,37.5162021,127.0207428
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),37.492167,127.057398
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,37.514887,127.035653
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,37.5236351,127.0468651
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",37.496801,127.055055
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),37.4941059,127.0329973
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 O103호,37.513715,127.059245
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",37.5231593,127.021625
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",37.501623,127.039375
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",37.499721,127.033582
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",37.50314,127.025546
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",37.5243631,127.0515599
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),37.5097863,127.0579134
삼성교,"서울특별시 강남구 영동대로86길 12, 동남유화빌딩 1층",37.507794,127.06517
학동역,서울특별시 강남구 논현로 704 (논현동),37.51464884,127.0307302
대치,서울특별시 강남구 도곡로 511 (대치동),37.49966175,127.0622171
기술센터,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)",37.50329211,127.0436409
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",37.490298,127.054895
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",37.50703529,127.0555503
선릉세화빌딩,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)",37.50377562,127.051196
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",37.52674095,127.0281105
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),37.52680046,127.0347174
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),37.49592355,127.0388645
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",37.50236693,127.0407
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",37.5165849,127.0412433
대치역,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)",37.493554,127.061874
포이,서울특별시 강남구 논현로 88 (개포동),37.47781106,127.0451411
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),37.49971982,127.0349084
학여울역,서울특별시 강남구 영동대로 215 (대치동),37.49803646,127.0684943
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,37.5107549,127.0445597
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),37.51354184,127.0527183
GS타워,서울특별시 강남구 논현로 508 (역삼동),37.5018592,127.0372776
압구정미소,서울특별시 강남구 논현로 841 (신사동),37.52405601,127.027915
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",37.50393894,127.0485135
수서,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,37.48801132,127.1017508
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),37.515351,127.060109
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),37.492209,127.039389
차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",37.508032,127.035373
청담공원,서울특별시 강남구 학동로 506 (삼성동),37.5186549,127.0514387
신압구정,서울특별시 강남구 언주로174길 29 (신사동),37.528115,127.036441
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",37.50898041,127.0403869
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),37.488585,127.032415
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",37.4964557,127.0296885
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",37.50080096,127.0351577
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",37.526549,127.040437
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),37.502721,127.044308
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",37.50576,127.057966
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",37.505053,127.046577
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),37.510015,127.063864
논현힐탑,서울특별시 강남구 논현로 648 (논현동),37.5115577,127.032262
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",37.5173623,127.0232957
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),37.618319,127.021072
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),37.6400354,127.0273766
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),37.611809,127.0306971
수유역,서울특별시 강북구 도봉로 342 (번동),37.6380167,127.026135
미아역,서울특별시 강북구 도봉로 196 (미아동),37.626148,127.026578
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),37.558509,126.835096
마곡역,서울특별시 강서구 공항대로 168 (마곡동),37.559611,126.826298
우장산역,서울특별시 강서구 강서로 267 (내발산동),37.549501,126.835984
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),37.5605261,126.833887
방화DT,서울특별시 강서구 방화대로 375 (방화동),37.574339,126.816415
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),37.56813,126.82614
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",37.560487,126.829667
가양역,서울특별시 강서구 양천로 476 (등촌동),37.56164,126.853327
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),37.535149,126.863232
양천향교역,서울특별시 강서구 강서로 463 (마곡동),37.566964,126.840731
화곡동,서울특별시 강서구 화곡로 142(화곡동),37.5405115,126.8372413
등촌,서울특별시 강서구 공항대로 329 (등촌동),37.5582043,126.8443392
염창역,서울특별시 강서구 공항대로 627 (염창동),37.547359,126.874436
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,37.56033,126.839279
가양이마트,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)",37.5578966,126.8622978
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),37.532303,126.846077
낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동),37.477946,126.961193
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),37.479343,126.95278
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),37.481599,126.9522
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),37.476169,126.965005
사당,서울특별시 관악구 남부순환로 2082-25,37.47601,126.980997
보라매대교,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)",37.491449,126.925432
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),37.484768,126.930467
신림,서울특별시 관악구 신림로 355-1 (신림동),37.48609493,126.9291602
신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",37.48385383,126.9301799
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),37.48118,126.951324
건국대,서울특별시 광진구 능동로 117 (화양동),37.5415592,127.0711244
어린이대공원역,서울시 광진구 능동로243 ,37.551946,127.076404
아차산역,서울시 광진구 천호대로 676 ,37.5505388,127.0898757
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),37.541129,127.09524
구의DT,서울특별시 광진구 광나루로 519 (구의동),37.5451984,127.0871587
자양사거리,서울특별시 광진구 아차산로 355,37.5371158,127.0825821
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.556965,127.079032
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.547442,127.105934
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),37.538544,127.073009
자양,서울특별시 광진구 능동로 50 (자양동),37.5354769,127.0691462
강변역,서울특별시 광진구 구의강변로 64 (구의동) 구의아크로리버,37.536155,127.093086
건대입구,서울특별시 광진구 능동로 107 (화양동),37.5406604,127.0707225
구의역,서울특별시 광진구 아차산로 373 (구의동),37.53698,127.084015
광장,서울특별시 광진구 아차산로 537-17 (광장동),37.542518,127.099651
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,37.538466,127.071271
금천구청역,"시흥대로73길 67 엠타워 112,113,114,115호",37.455983,126.895727
가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),37.48061318,126.8805702
금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),37.448624,126.903183
가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),37.481324,126.883779
금천독산,서울특별시 금천구 두산로 70 (독산동),37.46914,126.895246
가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),37.4798346,126.8824997
마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.478701,126.885076
가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),37.477221,126.883683
월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",37.6295,127.0574
월계트레이더스,서울시 노원구 마들로3길 15 ,37.6277053,127.0614978
상계초교사거리,서울 노원구 노원로 449 ,37.656776,127.066442
공릉DT,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116
노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.660941,127.058008
공릉역,서울특별시 노원구 동일로 1081 (공릉동),37.626337,127.072252
서울여대,서울특별시 노원구 화랑로 621 (공릉동),37.626163,127.093084
은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.65048737,127.0759861
노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654562,127.063617
광운대,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.0607009
중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.64817,127.062244
노원역,"서울특별시 노원구 동일로 1413, 1층 (상계동)",37.654751,127.060034
월계이마트,서울특별시 노원구 마들로3길 15 (월계동),37.627155,127.062094
창동이마트,서울특별시 도봉구 노해로65길 4 (창동),37.651645,127.046869
쌍문역,서울특별시 도봉구 도봉로 480 (창동),37.648456,127.034783
노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",37.513068,126.946537
남성역,서울특별시 동작구 사당로 219 (사당동),37.4841198,126.9725739
상도역,서울특별시 동작구 상도로37길 1 (상도1동),37.5031936,126.9484581
보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.49226213,126.9233457
이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이),37.484414,126.980047
노량진역,서울특별시 동작구 노량진로 134 (노량진동),37.51339,126.940879
신대방삼거리역,서울특별시 동작구 상도로 102 (상도동),37.499914,126.931766
중앙대,서울특별시 동작구 흑석로 75-1 (흑석동),37.506933,126.958125
숭실대입구역,서울특별시 동작구 상도로 354 (상도동),37.4968346,126.9527123
숭실대,서울특별시 동작구 사당로 4 (상도동),37.49538073,126.9548891
사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",37.47849216,126.9813456
서강대프라자,서울특별시 마포구 백범로 35 (신수동),37.551073,126.943096
상암YTN,서울특별시 마포구 상암산로 76 (상암동),37.579183,126.892315
마포용강동,서울특별시 마포구 토정로 295 (용강동),37.541186,126.942209
홍대입구역사거리R,서울특별시 마포구 양화로 125 (서교동),37.554636,126.92036
마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동),37.5508,126.953432
공덕,서울특별시 마포구 마포대로 130 (공덕동),37.545913,126.952956
합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.5509,126.9134
홍대공항철도역,서울특별시 마포구 양화로 178 (동교동),37.557491,126.925146
마포염리,서울특별시 마포구 독막로 311 (염리동),37.543876,126.94768
서강광흥창역,서울특별시 마포구 서강로 69 (창전동),37.549377,126.931661
합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",37.54963,126.912999
서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576
서교동사거리,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564
상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),37.58147,126.888983
신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694
상암디지털큐브,서울특별시 마포구 상암산로 34,37.5763132,126.8892477
상수역,서울특별시 마포구 독막로 88 (상수동),37.5474817,126.9232158
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,37.5424641,126.9505773
서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,37.551385,126.9169208
서강대,서울특별시 마포구 백범로 23 (신수동),37.5524584,126.9378262
상암MBC,서울특별시 마포구 성암로 267 (상암동),37.581297,126.890908
홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",37.557175,126.923654
동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",37.556928,126.919819
애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",37.55218737,126.9555203
홍대갤러리,"서울특별시 마포구 와우산로 101, 정명빌딩 (서교동)",37.55328184,126.9248279
상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",37.577623,126.890684
마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",37.54043451,126.9463168
마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,37.54145556,126.948819
홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),37.550266,126.923179
